CODIGO SIC;CODIGO PROPIO;HORA 01;HORA 02;HORA 03;HORA 04;HORA 05;HORA 06;HORA 07;HORA 08;HORA 09;HORA 10;HORA 11;HORA 12;HORA 13;HORA 14;HORA 15;HORA 16;HORA 17;HORA 18;HORA 19;HORA 20;HORA 21;HORA 22;HORA 23;HORA 24
Frt76855;Solar Ardobela I;0;0;0;0;0;0;147.36;2760.11;2843.53;1929.2;3669.32;5060.91;6564.21;1710.3;2656.08;1618.38;872.1;325.2;3.39;0;0;0;0;0
Frt76857;Solar Ardobela II;0;0;0;0;0;0;130.63;2539.96;2742.43;1937.65;3834.36;5034.25;6420.83;1659.34;2662.84;1522.54;847.17;318.49;2.21;0;0;0;0;0
Frt76858;Solar Ardobela II;11.21;11.2;11.22;11.07;11.07;10.68;1.18;0;0;0;0;0;0;0;0;0;0;0;11.99;12.1;11.97;12.04;11.95;11.76
Frt76859;Solar Ardobela I;3.79;3.81;3.85;3.79;3.78;3.75;0.34;0;0;0;0;0;0;0;0;0;0;0;5.63;3.69;3.65;3.67;3.71;3.76
